"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/31/2025","12/31/2025","12/31/2025","","Interest Payment","INT","","","$93.75"
"12/30/2025","12/30/2025","12/31/2025","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.668747","$448.60","($300.00)"
"12/30/2025","12/30/2025","12/31/2025","","ACH Deposit","ACH","","","$300.00"
"12/30/2025","12/30/2025","12/30/2025","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($419.56)"
"12/29/2025","12/29/2025","12/29/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"12/26/2025","12/26/2025","12/29/2025","TSLL","Option Expiration for TSLL 12/26/2025 Put $20.00","OEXP","10","",""
"12/26/2025","12/26/2025","12/29/2025","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Dividend Reinvestment","Buy","0.155904","$451.11","($70.33)"
"12/24/2025","12/24/2025","12/24/2025","VOOG","Cash Div: R/D 2025-12-22 P/D 2025-12-24 - 120.875198 shares at 0.5818","CDIV","","","$70.33"
"12/23/2025","12/23/2025","12/24/2025","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.66765","$449.34","($300.00)"
"12/23/2025","12/23/2025","12/24/2025","","ACH Deposit","ACH","","","$300.00"
"12/22/2025","12/22/2025","12/23/2025","INTC","INTC 1/2/2026 Put $35.00","STO","10","$0.34","$339.77"
"12/19/2025","12/19/2025","12/22/2025","TNA","Option Expiration for TNA 12/19/2025 Put $46.00","OEXP","10","",""
"12/19/2025","12/19/2025","12/22/2025","NVDA","Option Expiration for NVDA 12/19/2025 Put $170.00","OEXP","1","",""
"12/19/2025","12/19/2025","12/22/2025","TSLL","TSLL 12/26/2025 Put $20.00","STO","10","$0.21","$209.77"
"12/19/2025","12/19/2025","12/22/2025","SOFI","SOFI 1/2/2026 Call $28.50","STO","5","$0.41","$204.89"
"12/19/2025","12/19/2025","12/22/2025","SOFI","SOFI 1/2/2026 Call $28.50","STO","5","$0.41","$204.89"
"12/16/2025","12/16/2025","12/17/2025","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.681818","$440.00","($300.00)"
"12/16/2025","12/16/2025","12/17/2025","","ACH Deposit","ACH","","","$300.00"
"12/12/2025","12/12/2025","12/15/2025","SOFI","Option Expiration for SOFI 12/12/2025 Call $29.00","OEXP","10","",""
"12/12/2025","12/12/2025","12/15/2025","TSLL1","Option Expiration for TSLL1 12/12/2025 Put $18.00","OEXP","9","",""
"12/12/2025","12/12/2025","12/15/2025","TSLL1","Option Expiration for TSLL1 12/12/2025 Put $17.50","OEXP","10","",""
"12/12/2025","12/12/2025","12/15/2025","NVDA","NVDA 12/19/2025 Put $170.00","STO","1","$1.91","$190.97"
"12/12/2025","12/12/2025","12/15/2025","TNA","TNA 12/19/2025 Put $46.00","STO","3","$0.65","$194.93"
"12/12/2025","12/12/2025","12/15/2025","TNA","TNA 12/19/2025 Put $46.00","STO","2","$0.65","$129.95"
"12/12/2025","12/12/2025","12/15/2025","TNA","TNA 12/19/2025 Put $46.00","STO","5","$0.65","$324.89"
"12/12/2025","12/12/2025","12/15/2025","NFLX","NFLX 12/12/2025 Put $93.00","BTC","5","$0.02","($10.10)"
"12/12/2025","12/12/2025","12/15/2025","TNA","TNA 12/12/2025 Put $45.00","BTC","5","$0.01","($5.10)"
"12/10/2025","12/10/2025","12/10/2025","TSLL1","TSLL1 12/12/2025 Put $17.50","OCA","10S","",""
"12/10/2025","12/10/2025","12/10/2025","TSLL","TSLL 12/12/2025 Put $17.50","OCA","10","",""
"12/10/2025","12/10/2025","12/10/2025","TSLL1","TSLL1 12/12/2025 Put $18.00","OCA","9S","",""
"12/10/2025","12/10/2025","12/10/2025","TSLL","TSLL 12/12/2025 Put $18.00","OCA","9","",""
"12/9/2025","12/9/2025","12/10/2025","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.669606","$448.02","($300.00)"
"12/9/2025","12/9/2025","12/10/2025","","ACH Deposit","ACH","","","$300.00"
"12/8/2025","12/8/2025","12/9/2025","BRKB","BRKB 12/19/2025 Call $490.00","BTC","1","$7.13","($713.02)"
"12/8/2025","12/8/2025","12/9/2025","BRKB","BRKB 1/16/2026 Call $500.00","STO","1","$7.23","$722.97"
"12/8/2025","12/8/2025","12/9/2025","SOFI","SOFI 12/12/2025 Call $29.00","STO","10","$0.21","$209.77"
"12/8/2025","12/8/2025","12/9/2025","TSLL","TSLL 12/12/2025 Put $18.00","STO","9","$0.34","$305.79"
"12/8/2025","12/8/2025","12/9/2025","NFLX","NFLX 12/12/2025 Put $93.00","STO","5","$0.86","$429.89"
"12/8/2025","12/8/2025","12/9/2025","TSLL","TSLL 12/12/2025 Put $17.50","STO","10","$0.22","$219.77"
"12/5/2025","12/5/2025","12/8/2025","SOFI","Option Expiration for SOFI 12/5/2025 Call $31.00","OEXP","10","",""
"12/5/2025","12/5/2025","12/8/2025","HOOD","HOOD 12/5/2025 Call $130.00","OASGN","2","",""
"12/5/2025","12/5/2025","12/8/2025","HOOD","Robinhood Markets
CUSIP: 770700102
2 HOOD Options Assigned","Sell","200","$130.00","$25,999.97"
"12/5/2025","12/5/2025","12/8/2025","PLTR","PLTR 12/5/2025 Call $172.50","OASGN","2","",""
"12/5/2025","12/5/2025","12/8/2025","PLTR","Palantir Technologies
CUSIP: 69608A108
2 PLTR Options Assigned","Sell","200","$172.50","$34,499.97"
"12/5/2025","12/5/2025","12/8/2025","TSLL","TSLL 12/5/2025 Call $19.50","OASGN","10","",""
"12/5/2025","12/5/2025","12/8/2025","TSLL","Direxion Daily TSLA Bull 2X ETF
CUSIP: 25460G286
10 TSLL Options Assigned","Sell","1000","$19.50","$19,499.83"
"12/5/2025","12/5/2025","12/8/2025","TNA","TNA 12/12/2025 Put $45.00","STO","5","$0.60","$299.89"
"12/5/2025","12/5/2025","12/8/2025","ALAB","Astera Labs, Inc.
CUSIP: 04626A103","Sell","100","$158.24","$15,824.48"
"12/4/2025","12/4/2025","12/4/2025","TSLL","Stock Lending","SLIP","","","$0.01"
"12/3/2025","12/3/2025","12/4/2025","ALAB","ALAB 12/5/2025 Call $180.00","BTC","1","$0.05","($5.02)"
"12/2/2025","12/2/2025","12/3/2025","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.674384","$444.85","($300.00)"
"12/2/2025","12/2/2025","12/3/2025","","ACH Deposit","ACH","","","$300.00"
"12/1/2025","12/1/2025","12/2/2025","HOOD","HOOD 12/5/2025 Call $130.00","STO","1","$1.25","$124.97"
"12/1/2025","12/1/2025","12/2/2025","HOOD","HOOD 12/5/2025 Call $130.00","STO","1","$1.25","$124.97"
"12/1/2025","12/1/2025","12/2/2025","PLTR","PLTR 12/5/2025 Call $172.50","STO","1","$1.87","$186.97"
"12/1/2025","12/1/2025","12/2/2025","PLTR","PLTR 12/5/2025 Call $172.50","STO","1","$1.87","$186.97"
"12/1/2025","12/1/2025","12/2/2025","TSLL","TSLL 12/5/2025 Call $19.50","STO","7","$0.26","$181.84"
"12/1/2025","12/1/2025","12/2/2025","SOFI","SOFI 12/5/2025 Call $31.00","STO","8","$0.27","$215.82"
"12/1/2025","12/1/2025","12/2/2025","SOFI","SOFI 12/5/2025 Call $31.00","STO","1","$0.27","$26.97"
"12/1/2025","12/1/2025","12/2/2025","SOFI","SOFI 12/5/2025 Call $31.00","STO","1","$0.27","$26.97"
"12/1/2025","12/1/2025","12/2/2025","TSLL","TSLL 12/5/2025 Call $19.50","STO","3","$0.27","$80.93"
"12/1/2025","12/1/2025","12/2/2025","ALAB","ALAB 12/5/2025 Call $180.00","STO","1","$3.90","$389.97"
"12/1/2025","12/1/2025","12/1/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"11/28/2025","11/28/2025","11/28/2025","","Interest Payment","INT","","","$16.09"
"11/25/2025","11/25/2025","11/26/2025","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.681652","$440.11","($300.00)"
"11/25/2025","11/25/2025","11/26/2025","","ACH Deposit","ACH","","","$300.00"
"11/21/2025","11/21/2025","11/24/2025","TSLL","Option Expiration for TSLL 11/21/2025 Call $19.00","OEXP","10","",""
"11/21/2025","11/21/2025","11/24/2025","SOFI","Option Expiration for SOFI 11/21/2025 Call $30.00","OEXP","10","",""
"11/21/2025","11/21/2025","11/24/2025","HOOD","Option Expiration for HOOD 11/21/2025 Call $130.00","OEXP","2","",""
"11/21/2025","11/21/2025","11/24/2025","PLTR","Option Expiration for PLTR 11/21/2025 Call $180.00","OEXP","2","",""
"11/21/2025","11/21/2025","11/24/2025","ALAB","Option Expiration for ALAB 11/21/2025 Call $160.00","OEXP","1","",""
"11/18/2025","11/18/2025","11/19/2025","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.696298","$430.85","($300.00)"
"11/18/2025","11/18/2025","11/19/2025","","ACH Deposit","ACH","","","$300.00"
"11/17/2025","11/17/2025","11/18/2025","SOFI","SOFI 11/21/2025 Call $30.00","STO","10","$0.22","$219.55"
"11/17/2025","11/17/2025","11/18/2025","HOOD","HOOD 11/21/2025 Call $130.00","STO","1","$0.93","$92.95"
"11/17/2025","11/17/2025","11/18/2025","HOOD","HOOD 11/21/2025 Call $130.00","STO","1","$0.93","$92.95"
"11/17/2025","11/17/2025","11/18/2025","ALAB","ALAB 11/21/2025 Call $160.00","STO","1","$1.25","$124.95"
"11/17/2025","11/17/2025","11/18/2025","TSLL","TSLL 11/21/2025 Call $19.00","STO","10","$0.36","$359.55"
"11/17/2025","11/17/2025","11/18/2025","PLTR","PLTR 11/21/2025 Call $180.00","STO","2","$2.44","$487.91"
"11/14/2025","11/14/2025","11/17/2025","ALAB","Option Expiration for ALAB 11/14/2025 Call $185.00","OEXP","1","",""
"11/14/2025","11/14/2025","11/17/2025","SOFI","Option Expiration for SOFI 11/14/2025 Call $31.00","OEXP","10","",""
"11/14/2025","11/14/2025","11/17/2025","TSLL","TSLL 11/14/2025 Put $18.00","OASGN","10","",""
"11/14/2025","11/14/2025","11/17/2025","HOOD","Option Expiration for HOOD 11/14/2025 Call $142.00","OEXP","2","",""
"11/14/2025","11/14/2025","11/17/2025","TSLL","Direxion Daily TSLA Bull 2X ETF
CUSIP: 25460G286
10 TSLL Options Assigned","Buy","1000","$18.00","($18,000.00)"
"11/14/2025","11/14/2025","11/17/2025","PLTR","Option Expiration for PLTR 11/14/2025 Call $190.00","OEXP","2","",""
"11/14/2025","11/14/2025","11/17/2025","ANET","Option Expiration for ANET 11/14/2025 Call $145.00","OEXP","1","",""
"11/11/2025","11/11/2025","11/12/2025","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.671005","$447.09","($300.00)"
"11/11/2025","11/11/2025","11/13/2025","","ACH Deposit","ACH","","","$300.00"
"11/10/2025","11/10/2025","11/12/2025","TSLL","TSLL 11/14/2025 Put $18.00","STO","10","$0.36","$359.55"
"11/10/2025","11/10/2025","11/12/2025","ANET","ANET 11/14/2025 Call $145.00","STO","1","$0.86","$85.95"
"11/10/2025","11/10/2025","11/12/2025","HOOD","HOOD 11/14/2025 Call $142.00","STO","2","$2.08","$415.91"
"11/10/2025","11/10/2025","11/12/2025","PLTR","PLTR 11/14/2025 Call $190.00","STO","2","$2.75","$549.91"
"11/10/2025","11/10/2025","11/12/2025","SOFI","SOFI 11/14/2025 Call $31.00","STO","10","$0.30","$299.55"
"11/10/2025","11/10/2025","11/12/2025","ALAB","ALAB 11/14/2025 Call $185.00","STO","1","$2.75","$274.95"
"11/7/2025","11/7/2025","11/10/2025","PLTR","Option Expiration for PLTR 11/7/2025 Put $175.00","OEXP","1","",""
"11/7/2025","11/7/2025","11/10/2025","HOOD","HOOD 11/7/2025 Put $140.00","OASGN","1","",""
